sensor_id,09/01/2013,09/02/2013,09/03/2013,09/04/2013,09/05/2013,09/06/2013,09/07/2013,09/08/2013,09/09/2013,09/10/2013,09/11/2013,09/12/2013,09/13/2013,09/14/2013,09/15/2013,09/16/2013,09/17/2013,09/18/2013,09/19/2013,09/20/2013,09/21/2013,09/22/2013,09/23/2013,09/24/2013,09/25/2013,09/26/2013,09/27/2013,09/28/2013,09/29/2013,09/30/2013,
0,108.000000,97.666667,202.333333,201.666667,209.000000,213.000000,153.666667,115.333333,197.000000,207.666667,221.000000,114.000000,nan,160.666667,113.666667,194.666667,203.333333,194.333333,194.333333,213.000000,160.000000,108.000000,208.333333,194.333333,207.666667,208.333333,209.000000,155.333333,112.333333,2.333333,
1,638.333333,506.333333,1329.333333,1387.333333,1364.000000,1352.333333,928.333333,608.000000,1312.000000,1380.666667,1384.000000,1387.000000,1367.333333,942.666667,615.333333,1376.666667,1357.000000,1387.333333,1381.000000,1361.000000,939.333333,617.333333,1341.333333,1418.000000,1384.000000,1198.000000,1427.666667,955.333333,540.333333,1377.000000,
2,3253.333333,2663.333333,5568.000000,5536.333333,5535.666667,5500.000000,4490.666667,3147.333333,5307.666667,5492.000000,5570.333333,5571.666667,5557.000000,4255.666667,3048.666667,5354.666667,5395.000000,5526.666667,4576.000000,5447.666667,4589.333333,3085.333333,5194.000000,5542.000000,5521.000000,6244.333333,5757.666667,4686.000000,3133.000000,5981.666667,
3,2704.000000,2189.666667,3248.666667,3243.333333,3391.333333,3370.000000,3417.666667,2492.333333,3230.666667,3305.333333,3314.666667,3333.333333,3434.000000,3282.000000,2439.000000,3230.666667,3173.333333,3278.000000,2763.666667,3423.333333,3452.000000,2514.000000,3188.666667,3245.333333,3252.000000,3409.000000,3416.666667,3523.000000,2495.333333,3320.000000,
4,2885.000000,2394.000000,5520.333333,5230.333333,5426.333333,5482.333333,3887.333333,2968.000000,5173.333333,5697.333333,5444.333333,5502.666667,5411.333333,4310.000000,3014.333333,5333.666667,5184.333333,5474.000000,5388.666667,5400.666667,4482.666667,2974.000000,4905.000000,5427.333333,4721.000000,5251.666667,5484.666667,4120.000000,2943.666667,5266.333333,
5,2879.333333,2421.666667,3733.666667,3659.666667,3949.333333,3811.666667,3803.666667,2757.000000,3759.333333,3764.666667,3695.333333,3802.333333,4013.333333,3537.333333,2698.000000,3779.333333,3681.000000,3698.000000,3304.000000,3816.333333,3822.333333,2676.666667,3675.333333,3683.666667,3712.000000,4001.333333,3844.333333,3886.666667,2702.333333,3819.666667,
6,49.666667,31.666667,189.666667,209.333333,192.333333,187.000000,69.000000,52.666667,190.333333,203.000000,209.333333,196.666667,191.000000,74.333333,46.666667,196.000000,201.333333,193.333333,189.666667,177.666667,81.333333,48.666667,194.000000,189.333333,199.333333,188.000000,191.000000,79.333333,59.666667,199.000000,
7,3856.666667,3265.333333,4815.000000,4884.000000,5160.333333,4997.000000,4933.333333,3652.333333,4659.666667,4741.666667,4861.666667,4915.000000,5119.333333,4771.666667,3516.000000,4868.000000,4545.666667,4857.000000,4292.000000,4872.000000,4706.666667,3673.333333,4752.000000,4907.333333,4865.333333,5015.666667,5114.666667,4820.000000,3671.333333,4768.666667,
8,3787.000000,3215.666667,7419.333333,7122.666667,7266.666667,7359.666667,4923.666667,3903.666667,7048.666667,7615.333333,7307.666667,7404.666667,7234.000000,5484.000000,3897.666667,7105.666667,7160.333333,7355.666667,7328.333333,7365.333333,5715.333333,3868.000000,6787.000000,7335.000000,6692.000000,7375.666667,7410.333333,5368.333333,3839.666667,7383.000000,
9,130.000000,108.333333,539.333333,484.666667,473.666667,483.000000,199.666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,641.000000,613.000000,638.333333,587.333333,280.666667,177.666667,623.333333,636.333333,639.000000,644.333333,608.000000,270.666667,182.000000,643.000000,
